what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166181327
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166187934
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166195016
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166195297
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166202659
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166202660
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166203888
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166205448
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166205448
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166206992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471166209348
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471166210019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471166212624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471170712833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471170723378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471170727247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471170742627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471170753155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471170781674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471172854449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471172857220
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1471172859232
